part_id,part_name_hu,servings_source,food_key,food_hu,raw_g,role,catalog,finished_weight_g,yield_factor,density_g_per_ml,standard_serving_g
gulyasleves,Gulyásleves,4,beef_shank,marhalábszár,600,core,usda_fdc:169441,3802,0.905,1.022,450
gulyasleves,Gulyásleves,4,potato,burgonya,600,core,bls:K110100,3802,0.905,1.022,450
gulyasleves,Gulyásleves,4,onion,vöröshagyma,250,core,bls:G480100,3802,0.905,1.022,450
gulyasleves,Gulyásleves,4,carrot,sárgarépa,200,core,bls:G620100,3802,0.905,1.022,450
gulyasleves,Gulyásleves,4,parsley_root,petrezselyemgyökér,100,core,MISSING,3802,0.905,1.022,450
gulyasleves,Gulyásleves,4,wax_pepper,TV paprika / zöldpaprika,100,core,usda_fdc:2747660,3802,0.905,1.022,450
gulyasleves,Gulyásleves,4,tomato,paradicsom,100,core,bls:G561100,3802,0.905,1.022,450
gulyasleves,Gulyásleves,4,lard,sertészsír,30,fat,usda_fdc:171401,3802,0.905,1.022,450
gulyasleves,Gulyásleves,4,paprika_ground,őrölt pirospaprika,10,seasoning,usda_fdc:171329,3802,0.905,1.022,450
gulyasleves,Gulyásleves,4,garlic,fokhagyma,10,seasoning,bls:G490100,3802,0.905,1.022,450
gulyasleves,Gulyásleves,4,caraway_seed,kömény (egész/őrölt),2,seasoning,usda_fdc:170918,3802,0.905,1.022,450
gulyasleves,Gulyásleves,4,water,víz,2200,liquid,none,3802,0.905,1.022,450
halaszle,Halászlé (passzírozott alappal),4,carp,ponty,800,core,bls:T501100,3516,0.796,1.01,500
halaszle,Halászlé (passzírozott alappal),4,onion,vöröshagyma,300,core,bls:G480100,3516,0.796,1.01,500
halaszle,Halászlé (passzírozott alappal),4,wax_pepper,TV paprika / zöldpaprika,120,core,usda_fdc:2747660,3516,0.796,1.01,500
halaszle,Halászlé (passzírozott alappal),4,tomato,paradicsom,150,core,bls:G561100,3516,0.796,1.01,500
halaszle,Halászlé (passzírozott alappal),4,paprika_ground,őrölt pirospaprika,16,seasoning,usda_fdc:171329,3516,0.796,1.01,500
halaszle,Halászlé (passzírozott alappal),4,hot_pepper_fresh,cseresznyepaprika (erős),20,seasoning,usda_fdc:2747660,3516,0.796,1.01,500
halaszle,Halászlé (passzírozott alappal),4,garlic,fokhagyma,10,seasoning,bls:G490100,3516,0.796,1.01,500
